video_id,Influencer/Mainstream,neg,neu,pos,compound,emo_anger,emo_anticipation,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise,emo_trust,emo_shannon_norm,emo_gini_simpson
iJUQefeMlJI,1.0,0.048,0.857,0.095,0.9819,0.07042253521126761,0.18309859154929578,0.08450704225352113,0.23943661971830985,0.07042253521126761,0.028169014084507043,0.028169014084507043,0.29577464788732394,0.864186568151117,0.803015274747074
GTECeK3lxr4,3.0,0.13,0.804,0.066,-0.8934,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.2727272727272727,0.0,0.15151515151515152,0.06060606060606061,0.30303030303030304,0.8030012023040497,0.7823691460055096
dxmTJDFsbxM,2.0,0.031,0.879,0.091,0.9912,0.13559322033898305,0.2033898305084746,0.05084745762711865,0.15254237288135594,0.13559322033898305,0.03389830508474576,0.0847457627118644,0.2033898305084746,0.9386609429686995,0.8463085320310255
VEZsgAgYDhw,1.0,0.059,0.818,0.123,0.9999,0.10426540284360189,0.18009478672985782,0.016587677725118485,0.1646919431279621,0.11255924170616113,0.06279620853080568,0.0971563981042654,0.2618483412322275,0.9168622337600728,0.8346791401810382
Fvn2dxtByGs,2.0,0.049,0.863,0.087,0.2846,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.33333333333333337,0.5
xaXCTeDF_aY,1.0,0.075,0.853,0.072,0.8924,0.1524390243902439,0.18902439024390244,0.012195121951219513,0.2073170731707317,0.11585365853658537,0.06097560975609756,0.07317073170731707,0.18902439024390244,0.9175991106779353,0.8396787626412849
g5drje2nxkM,3.0,0.099,0.773,0.128,0.9966,0.10204081632653061,0.14285714285714285,0.03741496598639456,0.282312925170068,0.07142857142857142,0.11564625850340136,0.07142857142857142,0.17687074829931973,0.9251288723895311,0.8332176407978158
cfe-IPqlReQ,1.0,0.024,0.869,0.107,0.9513,0.03125,0.1875,0.03125,0.125,0.15625,0.15625,0.0,0.3125,0.8338714906033942,0.80078125
CJUbXY5KqgU,2.0,0.038,0.864,0.098,0.9976,0.060810810810810814,0.1554054054054054,0.04054054054054054,0.11486486486486487,0.12837837837837837,0.14864864864864866,0.08108108108108109,0.2702702702702703,0.9340459744045333,0.8391161431701972
Bx3njJl-13s,1.0,0.023,0.915,0.062,0.8393,0.06060606060606061,0.2727272727272727,0.0,0.18181818181818182,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.24242424242424243,0.845161802215735,0.8062442607897153
