Linguistic Feature,median_cat1,median_cat2,Difference_pct_raw,MannWhitney_U,MannWhitney_p,MannWhitney_sig,Welch_t,Welch_p,Welch_d,Welch_sig,n_cat1,n_cat2
emo_pos,0.29,0.245,18.3673469387755,715.5,0.7944693246099511,,0.7041556766033552,0.48341392915299475,0.1481637280025763,,53,28
emo_neg,0.12,0.15,-20.0,734.5,0.9426067072678472,,0.03961172586993557,0.968532930854411,0.009097413268335816,,53,28
emo_anx,0.0,0.0,0.0,823.5,0.34307835605106685,,0.2745961420919783,0.7845073823132996,0.062362097714570804,,53,28
emo_anger,0.0,0.0,0.0,899.0,0.029001649793962827,*,1.0574835443803599,0.29449439750623246,0.24291893678078397,,53,28
emo_sad,0.0,0.0,0.0,702.0,0.4721938554088041,,-1.1192903496914026,0.2716582407468413,-0.2907579409415008,,53,28
swear,0.0,0.0,0.0,770.5,0.5050364513739918,,0.2811073951238662,0.7796060834403398,0.06480842061614207,,53,28
Social,7.48,7.045,6.174591909155437,782.5,0.6911966057044965,,0.6497928169925535,0.5180774283474414,0.14673389585374763,,53,28
socbehav,1.72,1.9899999999999998,-13.567839195979891,700.0,0.6802371580459722,,-0.40095258056251265,0.6899019230347838,-0.0925144017095183,,53,28
prosocial,0.11,0.25,-56.00000000000001,561.5,0.07050345306992967,,0.20685232144387605,0.8366962717557431,0.04237290366459791,,53,28
polite,0.03,0.0,200.0,879.5,0.14243788680225983,,2.0008059010601174,0.05024814921863332,0.39240081351652656,,53,28
conflict,0.0,0.0,0.0,710.5,0.7248160835078543,,-1.4539623346198238,0.15546832197122779,-0.3731088243754066,,53,28
moral,0.0,0.0,0.0,807.5,0.468209433623491,,0.8705220504548778,0.3867137546970346,0.181002022521826,,53,28
comm,1.05,0.7250000000000001,44.82758620689654,920.0,0.0778292135325796,,1.2811515146544956,0.20441876272879353,0.28652101191225715,,53,28
socrefs,5.22,5.265000000000001,-0.8547008547008701,792.0,0.6230184003811008,,1.3505706108552784,0.18086954498602242,0.2951166501748589,,53,28
family,0.0,0.0,0.0,653.0,0.29476626688746366,,-0.010867327751813143,0.9913587033250377,-0.0023931346134656007,,53,28
friend,0.0,0.0,0.0,874.5,0.033898095757091164,*,2.111404667545946,0.03952635182413041,0.4105149433613084,*,53,28
female,0.0,0.0,0.0,800.5,0.407360919402145,,0.3148121168101358,0.7540614973098456,0.07319089978826344,,53,28
male,0.06,0.0,200.0,930.5,0.04416233895604819,*,1.9729378019872144,0.052311971545799106,0.40278808121008447,,53,28
Culture,0.74,1.1400000000000001,-35.087719298245624,559.5,0.07023985506913753,,-1.6103194371246452,0.11367852125107981,-0.3831960063291692,,53,28
politic,0.57,0.605,-5.7851239669421535,637.5,0.2985762113170256,,-0.8602671603097511,0.39360361884249784,-0.20313146463349221,,53,28
ethnicity,0.0,0.0,0.0,734.5,0.9366443157306394,,-0.4854939946859366,0.6294097187837387,-0.11500410619824794,,53,28
tech,0.0,0.095,-100.0,603.5,0.1417938653949582,,-1.3884066560413026,0.17561586182872824,-0.3655489095783942,,53,28
Lifestyle,8.41,9.129999999999999,-7.886089813800645,657.0,0.4013946680341296,,-1.082543036967192,0.2839830699647616,-0.2552687664986063,,53,28
leisure,0.06,0.135,-55.55555555555556,622.0,0.2218818690498484,,1.4985467975095508,0.13988622640236317,0.2919883340647116,,53,28
home,0.0,0.15,-100.0,544.5,0.03969184261707828,*,-1.7798875828310223,0.0813363579683586,-0.4248774374974718,,53,28
work,2.19,2.98,-26.51006711409396,554.0,0.06259976263968574,,-1.5261425293840924,0.13302233518633977,-0.3600346085792902,,53,28
money,6.18,6.885,-10.239651416122006,619.5,0.22568212014546296,,-1.5197426375428902,0.1354488999705927,-0.3666481944166643,,53,28
relig,0.0,0.0,0.0,798.0,0.4278154254183254,,0.8719944065234431,0.3861772864191657,0.17687389932299852,,53,28
Physical,0.63,0.72,-12.499999999999996,732.5,0.9286921902582552,,1.4276616088188987,0.15773644108606677,0.2906105348363469,,53,28
health,0.03,0.13,-76.92307692307693,557.0,0.05691012349688396,,-0.3648772468726777,0.7161846470238471,-0.07825830906172773,,53,28
illness,0.0,0.0,0.0,684.0,0.5243675569707891,,-1.0739790669333455,0.2898114415530043,-0.26942513261988155,,53,28
wellness,0.0,0.0,0.0,700.0,0.4500429327782417,,-0.6826943621464029,0.498513801343194,-0.16696544566001803,,53,28
mental,0.0,0.0,0.0,782.0,0.47217705203935134,,-0.544705434065776,0.5897560405149967,-0.14062060221677844,,53,28
substances,0.0,0.0,0.0,798.0,0.14212662902495973,,1.6056961828980933,0.11439723884977332,0.3119180003379884,,53,28
sexual,0.0,0.0,0.0,742.0,1.0,,,,,,53,28
food,0.23,0.28500000000000003,-19.298245614035093,788.0,0.6470684358657959,,1.3543028523005725,0.1799984319399569,0.2743957785407305,,53,28
death,0.0,0.0,0.0,840.0,0.09017994632908023,,1.473769821447144,0.14546915934267712,0.29396388249342303,,53,28
need,0.25,0.43,-41.860465116279066,582.0,0.10904100829625027,,-1.251518717204282,0.21641646301446082,-0.2959939733022727,,53,28
want,0.13,0.135,-3.703703703703707,767.5,0.7993230079694934,,0.7484676452231267,0.45640214776704535,0.15929618639020882,,53,28
acquire,1.07,1.02,4.901960784313729,768.0,0.7999847345324842,,0.3886071821423801,0.6988088237644157,0.0876586330387993,,53,28
lack,0.0,0.0,0.0,722.5,0.8357662593234094,,-0.3353499483009459,0.7386289326063771,-0.07828096045439858,,53,28
fulfill,0.0,0.04,-100.0,699.0,0.6509422258561779,,-0.06721260959913582,0.9465981120576307,-0.014875659947990257,,53,28
fatigue,0.0,0.0,0.0,742.5,1.0,,-0.6358629839807329,0.5291511199382095,-0.16220487093452543,,53,28
reward,0.11,0.14500000000000002,-24.13793103448277,681.0,0.535066393226385,,-0.7496941560729349,0.4571593367646073,-0.179923537393298,,53,28
risk,0.16,0.355,-54.92957746478873,551.0,0.05562415917038694,,-1.1388649519766425,0.259671146937466,-0.26590592744056574,,53,28
curiosity,0.11,0.04,175.00000000000003,864.0,0.2064581613173162,,1.8159644667829875,0.07324074668515934,0.37833701715371587,,53,28
allure,6.72,6.279999999999999,7.006369426751599,776.5,0.735629258684254,,0.5253617708142165,0.6011432193041288,0.11935663049677213,,53,28
Perception,8.99,9.850000000000001,-8.730964467005087,512.5,0.02295842273359676,*,-1.5673185898125832,0.12104158033726735,-0.33389675524059576,,53,28
attention,0.34,0.325,4.615384615384619,735.0,0.9480713126726811,,0.3065900699508911,0.7600897822604115,0.0687865452308057,,53,28
motion,1.59,2.45,-35.10204081632653,381.5,0.0003493578937941451,***,-4.010252635654305,0.00022294684104916165,-0.9683998002352736,***,53,28
space,6.5,6.845000000000001,-5.04017531044559,617.5,0.2181456697953693,,-0.9351040187712886,0.35260401464440305,-0.19617359355242953,,53,28
visual,0.54,0.53,1.8867924528301903,794.5,0.6032242176695872,,1.2809606484024956,0.20396579903669443,0.2736513209835255,,53,28
auditory,0.02,0.13,-84.61538461538461,663.5,0.417291448157565,,1.4212621390423585,0.1610930253313046,0.2767442552024476,,53,28
feeling,0.1,0.26,-61.53846153846154,536.5,0.0375924278605216,*,-1.784243187105127,0.07957417411704594,-0.4124591847857211,,53,28
time,4.51,4.415,2.151755379388443,742.0,1.0,,-0.3217360474270924,0.7487612377293358,-0.0739045287747111,,53,28
focuspast,2.38,2.08,14.423076923076913,758.0,0.8776293615858846,,-0.23493664702479045,0.8152321711075557,-0.0559710139064034,,53,28
focuspresent,7.02,7.0649999999999995,-0.6369426751592348,762.0,0.8464513007532533,,0.061090864389513104,0.9514411663345492,0.012982711066483028,,53,28
focusfuture,1.52,2.05,-25.85365853658536,566.0,0.08107540989542841,,-1.0850328729773624,0.28149427781077313,-0.2397848451454728,,53,28
Conversation,0.21,0.28,-25.00000000000001,754.5,0.9028969156566294,,1.8310480834085638,0.07176775634806021,0.3652727163261422,,53,28
netspeak,0.0,0.0,0.0,761.0,0.8350751771194006,,0.9236413347947988,0.3588228597681251,0.1874310728584264,,53,28
assent,0.0,0.0,0.0,828.0,0.3509123852635466,,2.1451687337258765,0.035811090578830675,0.4270392863095512,*,53,28
nonflu,0.0,0.0,0.0,659.5,0.34235463477076944,,0.977268220313432,0.3319177595096997,0.19681580816183333,,53,28
filler,0.0,0.0,0.0,784.0,0.20784099476193196,,1.5530982718107302,0.12646532304936928,0.3017004788522523,,53,28
